"","group_id","variable_id","variable_name","variable_group","description","unit","variable_vba"
"124",9,4,"D13CTissue","wood_delta","delta13C of simulated plant tissue (e.g. tree ring)",NA,"D13CTissue"
"125",9,5,"InterCi","wood_delta","Inter-cellular CO2 concentration","ppm","InterCiPPM"
"126",9,6,"var_9_6","wood_delta",NA,NA,NA
"127",9,7,"var_9_7","wood_delta",NA,NA,NA
"128",9,8,"var_9_8","wood_delta",NA,NA,NA
"129",9,9,"var_9_9","wood_delta",NA,NA,NA
"130",9,10,"var_9_10","wood_delta",NA,NA,NA
"131",9,11,"var_9_11","wood_delta",NA,NA,NA
"132",9,12,"var_9_12","wood_delta",NA,NA,NA
"133",9,13,"var_9_13","wood_delta",NA,NA,NA
"134",9,14,"var_9_14","wood_delta",NA,NA,NA
"135",9,15,"var_9_15","wood_delta",NA,NA,NA
"136",10,1,"Dweibullscale","weibull","Weibull scale parameter of avDBH distribution","-","DWeibullScale"
"137",10,2,"Dweibullshape","weibull","Weibull shape parameter of avDBH distribution","-","DWeibullShape"
"138",10,3,"Dweibulllocation","weibull","Weibull location parameter of avDBH distribution","-","DWeibullLocation"
"139",10,4,"wsweibullscale","weibull","Weibull scale parameter of stem biomass distribution","-","wsWeibullScale"
"140",10,5,"wsweibullshape","weibull","Weibull shape parameter of stem biomass distribution","-","wsWeibullShape"
"141",10,6,"wsweibulllocation","weibull","Weibull location parameter of stem biomass distribution","-","wsWeibullLocation"
"142",10,7,"CVdbhDistribution","weibull","Slope of CV of avDBH distribution vs age relationship","proportion","CV of dbh Distribution"
"143",10,8,"CVwsDistribution","weibull","Coefficient of variation of stem biomass distribution","proportion","CV of ws Distribution"
"144",10,9,"wsrelBias","weibull","Relative bias of calculating avDBH from mean stem biomass","proportion","Relative bias in dbh from using mean ws"
"145",10,10,"DrelBiaspFS","weibull","Relative bias of calculating pFS from avDBH","proportion","Relative bias in pFS from using mean dbh"
"146",10,11,"DrelBiasheight","weibull","Relative bias of calculating mean Height from avDBH","proportion","Relative bias in height from using mean dbh"
"147",10,12,"DrelBiasBasArea","weibull","Relative bias of calculating mean tree basal area from avDBH","proportion","Relative bias in basal area from using mean dbh"
"148",10,13,"DrelBiasLCL","weibull","Relative bias of calculating mean live-crown length from avDBH","proportion","Relative bias in LCL from using mean dbh"
"149",10,14,"DrelBiasCrowndiameter","weibull","Relative bias of calculating mean crown diameter from avDBH","proportion","Relative bias in crown diameter from using mean dbh"
"150",10,15,"var_10_15","weibull",NA,NA,NA
